name,phone,address,city,state,postal_code,website,email,categories,description,rating,reviews,source_url,google_search_query
Bay Coin Laundries,(415) 459-1463,N/A,N/A,N/A,N/A,http://cooking.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Commercial Laundries","From Business: A company in San Rafael CA, that specializes in Laundry Equipment, Coin Operated Washers Dryers, Commercial Laundries.",N/A,14 Years,https://www.yellowpages.com,https://www.google.com/search?q=Bay%20Coin%20Laundries%20N/A%20N/A%20N/A%20N/A
Monterey Bay Laundry Co.,(831) 649-1355,511 Lighthouse Ave,"Pacific Grove, CA 93950",N/A,N/A,http://www.montereybaylaundry.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries","The only plus to this laundrymat was that it was open 24 hours, although it would make more sense to me that the one on Lighthouse Ave in Monterey, near Cannery row be open 24…",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Monterey%20Bay%20Laundry%20Co.%20511%20Lighthouse%20Ave%20Pacific%20Grove%2C%20CA%2093950%20N/A%20N/A
Capitol Laundromat,(408) 258-9122,459 S Capitol Ave,"San Jose, CA 95127",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Capitol%20Laundromat%20459%20S%20Capitol%20Ave%20San%20Jose%2C%20CA%2095127%20N/A%20N/A
D & P Laundromat,(415) 409-2323,467 Hyde St,"San Francisco, CA 94109",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=D%20%26%20P%20Laundromat%20467%20Hyde%20St%20San%20Francisco%2C%20CA%2094109%20N/A%20N/A
Clean X Press,(650) 756-1667,344 Gellert Blvd,"Daly City, CA 94015",N/A,N/A,http://clean-x-press-ca-5.hub.biz,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Clean%20X%20Press%20344%20Gellert%20Blvd%20Daly%20City%2C%20CA%2094015%20N/A%20N/A
Mission Linen Supply,(510) 429-7305,30305 Union City Blvd,"Union City, CA 94587",N/A,N/A,http://www.missionlinen.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Linen Supply Service",N/A,N/A,95 Years,https://www.yellowpages.com,https://www.google.com/search?q=Mission%20Linen%20Supply%2030305%20Union%20City%20Blvd%20Union%20City%2C%20CA%2094587%20N/A%20N/A
Crown Cleaners,(415) 928-7852,3611 Buchanan St,"San Francisco, CA 94123",N/A,N/A,http://www.crowncleaners.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries","The Crown Cleaners owner Catherine Chow and Peter Singh(always change his name) cheated people's money everywhere, cheated girls tuition to do their dry cleaning business.…",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Crown%20Cleaners%203611%20Buchanan%20St%20San%20Francisco%2C%20CA%2094123%20N/A%20N/A
Kim's Wash Time,(209) 952-8009,4555 N Pershing Ave,"Stockton, CA 95207",N/A,N/A,http://mapquest.com/us/california/business-stockton/kims-wash...,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,33 Years,https://www.yellowpages.com,https://www.google.com/search?q=Kim%27s%20Wash%20Time%204555%20N%20Pershing%20Ave%20Stockton%2C%20CA%2095207%20N/A%20N/A
Freedom Laundry,(831) 728-1903,1962 Freedom Blvd,"Freedom, CA 95019",N/A,N/A,http://freedomcentrelaundry.placeweb.site,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Freedom%20Laundry%201962%20Freedom%20Blvd%20Freedom%2C%20CA%2095019%20N/A%20N/A
Alta Vista Laundromat,(831) 724-4572,74 Mariposa Ave,"Watsonville, CA 95076",N/A,N/A,http://alta-vista-laundromat.hub.biz,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Alta%20Vista%20Laundromat%2074%20Mariposa%20Ave%20Watsonville%2C%20CA%2095076%20N/A%20N/A
Bernal Bubbles,(415) 821-9530,397 Cortland Ave,"San Francisco, CA 94110",N/A,N/A,http://www.bernalbubbles.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Bernal%20Bubbles%20397%20Cortland%20Ave%20San%20Francisco%2C%20CA%2094110%20N/A%20N/A
Dynasty Cleaners,(650) 593-6477,665 Laurel St,"San Carlos, CA 94070",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,48 Years,https://www.yellowpages.com,https://www.google.com/search?q=Dynasty%20Cleaners%20665%20Laurel%20St%20San%20Carlos%2C%20CA%2094070%20N/A%20N/A
Ski Run Coin Laundry,(530) 542-2216,3668 Lake Tahoe Blvd,"South Lake Tahoe, CA 96150",N/A,N/A,https://www.skiruncenter.net/ski-run-coin-laundry,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries","This place saved us when we were in Lake Tahoe. The motel we stayed at washers were broken. So we had to find a nearby laundromat. Clean place, plenty of washers, was not very…",,(2),https://www.yellowpages.com,https://www.google.com/search?q=Ski%20Run%20Coin%20Laundry%203668%20Lake%20Tahoe%20Blvd%20South%20Lake%20Tahoe%2C%20CA%2096150%20N/A%20N/A
Grand Avenue Lauderdette,(510) 452-0747,3796 Grand Ave,"Oakland, CA 94610",N/A,N/A,http://grandoakland.com,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Grand%20Avenue%20Lauderdette%203796%20Grand%20Ave%20Oakland%2C%20CA%2094610%20N/A%20N/A
Hoot & Toot Cleaners,(650) 324-2920,875 Santa Cruz Ave,"Menlo Park, CA 94025",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Hoot%20%26%20Toot%20Cleaners%20875%20Santa%20Cruz%20Ave%20Menlo%20Park%2C%20CA%2094025%20N/A%20N/A
Fair Oaks Laundrymat,(408) 245-9510,313 N Fair Oaks Ave,"Sunnyvale, CA 94085",N/A,N/A,http://fair-oaks-laundrymat.hub.biz,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Fair%20Oaks%20Laundrymat%20313%20N%20Fair%20Oaks%20Ave%20Sunnyvale%2C%20CA%2094085%20N/A%20N/A
Sunset Wash and Dry,(707) 434-0271,121 Sunset Ave Ste C,"Suisun City, CA 94585",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries","New management turned this place around. The place is clean. The machines are new and work incredibly well.""",,(3),https://www.yellowpages.com,https://www.google.com/search?q=Sunset%20Wash%20and%20Dry%20121%20Sunset%20Ave%20Ste%20C%20Suisun%20City%2C%20CA%2094585%20N/A%20N/A
Soap Opera Laundromat,(559) 687-1630,557 W Bardsley Ave # 14,"Tulare, CA 93274",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers","From Business: Soap Opera Laundry is a family-owned, self-service laundromat located in Tulare, California. We are located at 557 W. Bardsley Ave. right inside the shopping…",N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Soap%20Opera%20Laundromat%20557%20W%20Bardsley%20Ave%20%23%2014%20Tulare%2C%20CA%2093274%20N/A%20N/A
Wheatland Laundromat,(530) 633-0366,413 6th St,"Wheatland, CA 95692",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Wheatland%20Laundromat%20413%206th%20St%20Wheatland%2C%20CA%2095692%20N/A%20N/A
Colusa Linen Supply Inc.,(530) 458-2004,330 Market St,"Colusa, CA 95932",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Linen Supply Service","From Business: Independently Owned & Operated - Linen Services Including: Hotel/Motel Linens, Uniforms, Dust Control, Entry Mats, Beauty & Shop Towels. In business since 1978.…",N/A,47 Years,https://www.yellowpages.com,https://www.google.com/search?q=Colusa%20Linen%20Supply%20Inc.%20330%20Market%20St%20Colusa%2C%20CA%2095932%20N/A%20N/A
L & M Launderette,(510) 893-7417,3411 Grand Ave,"Oakland, CA 94610",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=L%20%26%20M%20Launderette%203411%20Grand%20Ave%20Oakland%2C%20CA%2094610%20N/A%20N/A
Fabricare Laundry,(408) 261-3520,3779 Williams Rd,"San Jose, CA 95117",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Fabricare%20Laundry%203779%20Williams%20Rd%20San%20Jose%2C%20CA%2095117%20N/A%20N/A
Sunlight Laundromat,(408) 779-5786,17865 Monterey St,"Morgan Hill, CA 95037",N/A,N/A,http://sunlightlaundromat.com,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Sunlight%20Laundromat%2017865%20Monterey%20St%20Morgan%20Hill%2C%20CA%2095037%20N/A%20N/A
Rita's Launderette & Cleaners,(415) 397-1046,741 Union St,"San Francisco, CA 94133",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,42 Years,https://www.yellowpages.com,https://www.google.com/search?q=Rita%27s%20Launderette%20%26%20Cleaners%20741%20Union%20St%20San%20Francisco%2C%20CA%2094133%20N/A%20N/A
Sanborn Launderland,(831) 769-9614,45 S Sanborn Rd,"Salinas, CA 93905",N/A,N/A,http://www.launderland.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Sanborn%20Launderland%2045%20S%20Sanborn%20Rd%20Salinas%2C%20CA%2093905%20N/A%20N/A
University Wash & Dry,(831) 466-9118,1232 Mission St,"Santa Cruz, CA 95060",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=University%20Wash%20%26%20Dry%201232%20Mission%20St%20Santa%20Cruz%2C%20CA%2095060%20N/A%20N/A
Wash and Shop Laudromat,(510) 843-5279,2450 Sacramento St,"Berkeley, CA 94702",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Wash%20and%20Shop%20Laudromat%202450%20Sacramento%20St%20Berkeley%2C%20CA%2094702%20N/A%20N/A
Peninou French Laundry and Cleaner,(415) 351-2554,3063 Laguna St,"San Francisco, CA 94123",N/A,N/A,https://www.peninou.com/contact-us,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,15 Years,https://www.yellowpages.com,https://www.google.com/search?q=Peninou%20French%20Laundry%20and%20Cleaner%203063%20Laguna%20St%20San%20Francisco%2C%20CA%2094123%20N/A%20N/A
Advantage Laundry - Pleasant Hill,(925) 825-9331,1300 Contra Costa Blvd. #16,"Pleasant Hill, CA 94523",N/A,N/A,http://www.advantagelaundry.com,N/A,"Laundromats, Coin Operated Washers & Dryers","Clean and safe location to do laundry. Next to a Subway, a pizza place, and a boba shop so you can eat/relax elsewhere while doing your laundry.""",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Advantage%20Laundry%20-%20Pleasant%20Hill%201300%20Contra%20Costa%20Blvd.%20%2316%20Pleasant%20Hill%2C%20CA%2094523%20N/A%20N/A
The Laundry House,(530) 333-0116,6322 State Highway 193,"Georgetown, CA 95634",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,33 Years,https://www.yellowpages.com,https://www.google.com/search?q=The%20Laundry%20House%206322%20State%20Highway%20193%20Georgetown%2C%20CA%2095634%20N/A%20N/A
Lisa's Wash & Dry,(831) 674-8822,321 El Camino Real,"Greenfield, CA 93927",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Lisa%27s%20Wash%20%26%20Dry%20321%20El%20Camino%20Real%20Greenfield%2C%20CA%2093927%20N/A%20N/A
Live Oak Laundromat,(831) 464-2498,1214 17th Ave,"Santa Cruz, CA 95062",N/A,N/A,http://www.manta.com/c/mmpck1w/live-oak-family-resource-center,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,36 Years,https://www.yellowpages.com,https://www.google.com/search?q=Live%20Oak%20Laundromat%201214%2017th%20Ave%20Santa%20Cruz%2C%20CA%2095062%20N/A%20N/A
Harding Way Launderland,(209) 547-1997,1405 E Harding Way,"Stockton, CA 95205",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,26 Years,https://www.yellowpages.com,https://www.google.com/search?q=Harding%20Way%20Launderland%201405%20E%20Harding%20Way%20Stockton%2C%20CA%2095205%20N/A%20N/A
Oasis Laundry Center,(408) 267-2505,5397 Camden Ave,"San Jose, CA 95124",N/A,N/A,http://88moving.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Oasis%20Laundry%20Center%205397%20Camden%20Ave%20San%20Jose%2C%20CA%2095124%20N/A%20N/A
The Washboard Laundromat,(530) 671-6658,225 Clark Ave,"Yuba City, CA 95991",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries","This place is always clean. I only went to them because I needed to wash 2 sleeping bags""",,(1),https://www.yellowpages.com,https://www.google.com/search?q=The%20Washboard%20Laundromat%20225%20Clark%20Ave%20Yuba%20City%2C%20CA%2095991%20N/A%20N/A
Wash -A-Way Laundromat,(530) 534-9074,2626 Myers St,"Oroville, CA 95966",N/A,N/A,http://dandb.com/.../washawaylaundromat-oroville-ca-25829509.html,N/A,"Laundromats, Coin Operated Washers & Dryers","horrible and their impatient they close earlier than they say they do and they talk behind your back.""",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Wash%20-A-Way%20Laundromat%202626%20Myers%20St%20Oroville%2C%20CA%2095966%20N/A%20N/A
Arguello Launderette,(650) 368-7903,717 Arguello St,"Redwood City, CA 94063",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,41 Years,https://www.yellowpages.com,https://www.google.com/search?q=Arguello%20Launderette%20717%20Arguello%20St%20Redwood%20City%2C%20CA%2094063%20N/A%20N/A
Mom's Laundromat,(707) 822-1181,5000 Valley West Blvd,"Arcata, CA 95521",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers","under new ownership I think but all brand new machines free dryers nice staff drop off service couldn't ask for more. awesome laundromat!""",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Mom%27s%20Laundromat%205000%20Valley%20West%20Blvd%20Arcata%2C%20CA%2095521%20N/A%20N/A
Lakewood Laundry,(209) 521-1020,1532 Lakewood Ave,"Modesto, CA 95355",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Laundry Equipment",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Lakewood%20Laundry%201532%20Lakewood%20Ave%20Modesto%2C%20CA%2095355%20N/A%20N/A
Crestview Laundromat,(831) 728-7254,1412 Freedom Blvd,"Watsonville, CA 95076",N/A,N/A,http://crestviewlaundromat.placeweb.site,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,40 Years,https://www.yellowpages.com,https://www.google.com/search?q=Crestview%20Laundromat%201412%20Freedom%20Blvd%20Watsonville%2C%20CA%2095076%20N/A%20N/A
Outlet Discount Cleaners,(831) 754-1757,1039 S Main St,"Salinas, CA 93901",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,30 Years,https://www.yellowpages.com,https://www.google.com/search?q=Outlet%20Discount%20Cleaners%201039%20S%20Main%20St%20Salinas%2C%20CA%2093901%20N/A%20N/A
Launderland Coin-Op,(510) 620-9396,3828 Macdonald Ave,"Richmond, CA 94805",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Laundry Equipment",N/A,N/A,35 Years,https://www.yellowpages.com,https://www.google.com/search?q=Launderland%20Coin-Op%203828%20Macdonald%20Ave%20Richmond%2C%20CA%2094805%20N/A%20N/A
123 Wash & Dry,(415) 566-3883,1501 Taraval St,"San Francisco, CA 94116",N/A,N/A,http://wens123cleaners.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=123%20Wash%20%26%20Dry%201501%20Taraval%20St%20San%20Francisco%2C%20CA%2094116%20N/A%20N/A
Mr & Ms Bubbles Coin Laundries,(650) 343-9087,715 California Dr,"Burlingame, CA 94010",N/A,N/A,http://www.bubblescoinlaundry.com,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,32 Years,https://www.yellowpages.com,https://www.google.com/search?q=Mr%20%26%20Ms%20Bubbles%20Coin%20Laundries%20715%20California%20Dr%20Burlingame%2C%20CA%2094010%20N/A%20N/A
The Clean Cycle,(415) 759-0300,1454 48th Ave,"San Francisco, CA 94122",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=The%20Clean%20Cycle%201454%2048th%20Ave%20San%20Francisco%2C%20CA%2094122%20N/A%20N/A
J and W Laundromat,(415) 826-8878,3157 Mission St,"San Francisco, CA 94110",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=J%20and%20W%20Laundromat%203157%20Mission%20St%20San%20Francisco%2C%20CA%2094110%20N/A%20N/A
Novato Square Coin Laundry,(415) 897-9582,2015 Novato Blvd,"Novato, CA 94947",N/A,N/A,http://novato-laundry.jany.io,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Novato%20Square%20Coin%20Laundry%202015%20Novato%20Blvd%20Novato%2C%20CA%2094947%20N/A%20N/A
Laundryday,(559) 591-2126,2230 E El Monte Way,"Dinuba, CA 93618",N/A,N/A,http://laundryday.placeweb.site,N/A,"Laundromats, Coin Operated Washers & Dryers, Commercial Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Laundryday%202230%20E%20El%20Monte%20Way%20Dinuba%2C%20CA%2093618%20N/A%20N/A
Pleasanton Lucky Cleaner,(925) 846-6667,6051 W Las Positas Blvd,"Pleasanton, CA 94588",N/A,N/A,http://pleasantonluckycleaners.placeweb.site,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Pleasanton%20Lucky%20Cleaner%206051%20W%20Las%20Positas%20Blvd%20Pleasanton%2C%20CA%2094588%20N/A%20N/A
Cropley Laundrymat,(408) 618-8035,2661 Cropley Ave,"San Jose, CA 95132",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers","The new owner of this place is money sucker, soon as he took over the place he added .50 cents right away, he's reasoning is that the rent went up. What a co-incidence, I don't…",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Cropley%20Laundrymat%202661%20Cropley%20Ave%20San%20Jose%2C%20CA%2095132%20N/A%20N/A
East Bay Coin Laundry,(510) 842-9304,2424 E 12th St,"Oakland, CA 94601",N/A,N/A,http://www.eastbaycoinlaundry.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Commercial Laundries",N/A,N/A,54 Years,https://www.yellowpages.com,https://www.google.com/search?q=East%20Bay%20Coin%20Laundry%202424%20E%2012th%20St%20Oakland%2C%20CA%2094601%20N/A%20N/A
King Launderland,(408) 270-8227,2527 S King Rd,"San Jose, CA 95122",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,34 Years,https://www.yellowpages.com,https://www.google.com/search?q=King%20Launderland%202527%20S%20King%20Rd%20San%20Jose%2C%20CA%2095122%20N/A%20N/A
Launderland,(510) 531-1731,3711 Macarthur Blvd,"Oakland, CA 94619",N/A,N/A,http://www.maclaunderland.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,30 Years,https://www.yellowpages.com,https://www.google.com/search?q=Launderland%203711%20Macarthur%20Blvd%20Oakland%2C%20CA%2094619%20N/A%20N/A
Foothill Wash House,(510) 763-6661,211 Foothill Blvd,"Oakland, CA 94606",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Foothill%20Wash%20House%20211%20Foothill%20Blvd%20Oakland%2C%20CA%2094606%20N/A%20N/A
Auburn Thrifty Wash,(530) 889-9274,13404 Lincoln Way,"Auburn, CA 95603",N/A,N/A,https://www.auburnthriftywash.com/about-us/reviews,N/A,"Laundromats, Coin Operated Washers & Dryers, Commercial Laundries",From Business: Always Clean. Self Service Laundry. Fluff and Fold Service (Drop-Off). Laundromat open 7:30 AM -9 :30 PM Daily Except Thanksgiving and Christmas. Last Wash 8:15…,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Auburn%20Thrifty%20Wash%2013404%20Lincoln%20Way%20Auburn%2C%20CA%2095603%20N/A%20N/A
Sf Crown Cleaner,(415) 695-1678,1539 Church St,"San Francisco, CA 94131",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Sf%20Crown%20Cleaner%201539%20Church%20St%20San%20Francisco%2C%20CA%2094131%20N/A%20N/A
Saigon Launderite,(415) 221-8321,415 21st Ave,"San Francisco, CA 94121",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries","I am one of the customer from this launderette. They have good service, always do it on time, and very good manners. I have bring my laundry to different places to do and this…",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Saigon%20Launderite%20415%2021st%20Ave%20San%20Francisco%2C%20CA%2094121%20N/A%20N/A
